ID,Call Failure,Complains,Charge Amount,Freq. of use,Freq. of SMS,Distinct Called Numbers,Age Group,Plan,Status,Age,Customer Value,Churn
1,3,no,100,25,32,11,3,pre-paid,active,30,193.12,no
2,8,no,100,65,0,13,2,pre-paid,active,25,194.4,yes
3,0,no,200,0,0,0,2,pre-paid,not-active,25,0,yes
4,10,no,100,54,327,20,2,pre-paid,active,25,1579.14,yes
5,10,no,100,60,0,31,1,pre-paid,active,15,227.865,yes
6,3,no,200,52,0,29,1,pre-paid,active,15,128.15,yes
7,11,no,50,76,0,24,2,pre-paid,active,25,168.12,yes
8,4,no,100,33,253,14,3,pre-paid,active,30,1103.12,yes
9,13,no,100,115,112,39,3,pre-paid,active,30,812.6,yes
10,7,no,400,163,0,40,3,pre-paid,active,30,552.84,yes
11,7,no,20,77,0,21,3,pre-paid,active,30,179.08,yes
12,6,no,100,89,0,8,2,pre-paid,active,25,265.14,yes
13,9,no,200,48,0,13,3,pre-paid,not-active,30,86.84,yes
14,25,no,100,219,22,28,3,pre-paid,active,30,697.76,yes
15,4,no,50,21,451,4,3,pre-paid,active,30,1924.04,yes
16,9,no,100,176,118,26,2,pre-paid,active,25,1230.57,yes
17,3,no,50,80,154,22,3,pre-paid,active,30,874.6,yes
18,0,no,100,8,0,7,2,pre-paid,not-active,25,34.56,yes
19,2,no,100,8,0,4,2,pre-paid,not-active,25,27.135,yes
20,0,yes,400,0,0,0,2,pre-paid,not-active,25,0,no
21,3,no,20,121,352,39,2,pre-paid,active,25,1922.13,yes
22,7,no,50,148,0,43,3,pre-paid,active,30,459.92,yes
23,8,no,200,69,76,33,2,pre-paid,active,25,642.24,yes
24,23,no,100,41,0,13,2,pre-paid,not-active,25,39.645,no
25,21,no,20,87,0,38,4,post-paid,active,45,260.175,yes
26,13,yes,200,92,0,20,2,pre-paid,active,25,260.775,no
27,1,no,50,16,0,10,3,pre-paid,active,30,109.64,yes
28,9,yes,100,35,0,12,2,pre-paid,not-active,25,130.95,no
29,9,no,50,38,2,27,3,pre-paid,not-active,30,95.64,no
30,0,no,400,0,0,0,2,pre-paid,not-active,25,0,no
31,1,no,100,19,0,2,3,pre-paid,active,30,62.88,yes
32,3,no,50,91,0,18,4,pre-paid,active,45,169.025,yes
33,0,no,200,1,0,3,4,pre-paid,not-active,45,12.85,no
34,0,no,100,0,0,0,4,pre-paid,active,45,0,yes
35,25,no,100,232,0,76,2,pre-paid,active,25,728.64,yes
36,6,no,200,110,239,29,2,post-paid,active,25,1388.7,yes
37,2,no,100,76,0,24,2,pre-paid,active,25,165.555,yes
38,3,no,100,38,6,16,3,pre-paid,not-active,30,87.52,yes
39,6,no,100,47,143,19,2,pre-paid,active,25,765.54,yes
40,4,no,400,30,161,7,2,post-paid,active,25,779.85,yes
41,4,no,50,33,0,64,4,pre-paid,active,45,37.15,yes
42,11,no,50,19,0,3,2,pre-paid,not-active,25,27.18,yes
43,0,no,200,4,0,1,4,pre-paid,not-active,45,17.85,yes
44,10,no,100,26,0,9,2,pre-paid,active,25,51.12,yes
45,2,no,20,55,0,19,3,pre-paid,active,30,126.6,yes
46,2,no,200,20,0,10,2,pre-paid,active,25,72,yes
47,16,no,100,135,53,38,1,post-paid,active,15,644.215,yes
48,12,no,100,165,41,36,4,pre-paid,active,45,327.075,yes
49,8,no,100,39,0,15,3,pre-paid,active,30,111.08,yes
50,2,no,400,34,183,6,3,pre-paid,active,30,904.36,yes
51,3,yes,50,13,0,3,2,pre-paid,active,25,62.37,no
52,10,no,50,72,14,20,3,pre-paid,active,30,241.28,yes
53,2,no,200,6,16,7,2,pre-paid,not-active,25,95.13,yes
54,12,no,100,61,368,27,3,pre-paid,active,30,1580.16,yes
55,12,no,50,67,10,38,1,pre-paid,active,15,300.025,yes
56,5,no,100,59,11,36,1,pre-paid,active,15,205.81,yes
57,13,no,50,83,41,31,3,pre-paid,active,30,325.92,yes
58,6,no,100,40,294,21,3,pre-paid,active,30,1279.6,yes
59,15,no,100,122,153,46,3,pre-paid,active,30,989.08,yes
60,9,no,400,170,9,47,3,pre-paid,active,30,601.32,yes
61,9,no,100,84,11,28,3,pre-paid,active,30,235.56,yes
62,8,no,50,96,16,15,3,pre-paid,active,30,312.16,yes
63,11,yes,200,55,17,20,3,pre-paid,not-active,30,167.32,yes
64,27,no,100,226,63,35,3,pre-paid,active,30,874.24,yes
65,6,no,50,28,492,11,3,pre-paid,active,30,2100.52,yes
66,11,no,200,183,159,33,2,pre-paid,active,25,1429.11,yes
67,5,no,20,87,195,29,3,pre-paid,active,30,1051.08,yes
68,2,no,100,15,9,14,2,pre-paid,not-active,25,89.1,yes
69,4,no,100,15,22,11,3,pre-paid,not-active,30,124.6,yes
70,2,no,400,1,9,3,2,pre-paid,not-active,25,49.095,no
71,5,no,50,128,393,46,2,pre-paid,active,25,2120.67,yes
72,9,no,100,155,20,50,4,pre-paid,active,45,345.25,yes
73,10,no,200,76,117,40,2,pre-paid,active,25,840.78,yes
74,25,yes,100,48,25,20,2,pre-paid,not-active,25,166.185,no
75,23,no,100,94,10,45,5,pre-paid,active,55,175.785,yes
76,15,no,100,99,35,27,2,pre-paid,active,25,432.315,no
77,3,no,50,23,9,17,3,pre-paid,active,30,158.12,yes
78,11,yes,100,42,18,19,3,pre-paid,not-active,30,200.88,no
79,11,yes,100,45,43,34,3,pre-paid,not-active,30,272.12,no
80,2,no,400,3,9,5,3,pre-paid,not-active,30,49.04,no
81,3,no,20,26,9,9,3,pre-paid,active,30,111.36,yes
82,5,no,50,98,23,25,5,pre-paid,active,55,140.595,yes
83,2,no,200,8,18,7,4,pre-paid,not-active,45,65.65,no
84,2,no,100,5,13,5,5,pre-paid,active,55,27.495,yes
85,27,no,50,239,9,83,2,pre-paid,active,25,783.18,yes
86,8,no,200,117,280,36,2,post-paid,active,25,1587.24,yes
87,4,no,100,83,11,31,2,pre-paid,active,25,229.095,yes
88,5,no,100,45,47,23,3,pre-paid,not-active,30,264,yes
89,8,no,100,54,184,26,2,pre-paid,active,25,964.08,yes
90,6,yes,400,37,202,14,2,post-paid,active,25,978.39,no
91,6,no,20,40,39,71,4,pre-paid,active,45,142.45,yes
92,13,no,100,26,19,10,2,pre-paid,not-active,25,126.72,yes
93,2,no,200,11,30,6,4,pre-paid,not-active,45,100.65,yes
94,12,no,100,33,28,16,2,pre-paid,active,25,191.16,yes
95,4,no,50,62,17,26,3,pre-paid,active,30,207.08,yes
96,4,no,100,27,37,17,2,pre-paid,active,25,252.54,yes
97,18,no,100,142,94,45,2,post-paid,active,25,725.58,yes
98,14,no,100,172,82,43,4,pre-paid,active,45,437.35,yes
99,10,no,50,46,40,22,3,pre-paid,active,30,283.52,yes
100,4,no,400,41,224,13,3,pre-paid,active,30,1080.84,yes
101,5,no,50,20,9,10,3,pre-paid,active,30,103.88,no
102,6,no,50,70,0,14,3,pre-paid,active,30,170,yes
103,0,no,200,4,0,1,2,pre-paid,not-active,25,5.94,yes
104,8,no,100,59,350,21,3,pre-paid,active,30,1492.88,yes
105,8,no,50,65,0,32,1,pre-paid,active,15,224.015,yes
106,1,no,100,57,0,30,1,pre-paid,active,15,124.3,yes
107,9,no,50,81,23,25,3,pre-paid,active,30,238.64,yes
108,2,no,100,38,276,15,3,pre-paid,active,30,1192.32,yes
109,11,no,50,120,135,40,3,pre-paid,active,30,901.8,yes
110,5,no,400,168,0,41,3,pre-paid,active,30,550.04,yes
111,5,no,20,82,0,22,3,pre-paid,active,30,176.28,yes
112,4,no,100,94,0,9,3,pre-paid,active,30,232.88,yes
113,7,no,200,53,0,14,3,pre-paid,not-active,30,84.04,yes
114,23,no,100,224,45,29,3,pre-paid,active,30,786.96,yes
115,2,no,50,26,474,5,3,pre-paid,active,30,2013.24,yes
116,7,no,200,181,141,27,2,pre-paid,active,25,1330.92,yes
117,1,no,100,85,177,23,3,pre-paid,active,30,963.8,yes
118,0,no,100,13,0,8,2,pre-paid,not-active,25,31.41,yes
119,0,no,100,13,4,5,3,pre-paid,not-active,30,37.32,yes
120,0,no,400,0,0,0,2,pre-paid,not-active,25,0,no
121,1,no,20,126,375,40,2,pre-paid,active,25,2022.48,yes
122,5,no,50,153,2,44,4,pre-paid,active,45,290.7,yes
123,6,no,200,74,99,34,2,pre-paid,active,25,742.59,yes
124,21,no,100,46,7,14,2,pre-paid,not-active,25,67.995,no
125,19,no,20,92,0,39,5,post-paid,active,55,155.055,yes
126,11,no,200,97,17,21,2,pre-paid,active,25,334.125,no
127,0,no,100,21,0,11,3,pre-paid,active,30,106.84,yes
128,7,yes,100,40,0,13,3,pre-paid,not-active,30,113.6,no
129,7,no,100,43,25,28,3,pre-paid,not-active,30,184.84,no
130,0,no,400,0,0,0,3,pre-paid,not-active,30,0,no
131,0,no,50,24,0,3,3,pre-paid,active,30,60.08,yes
132,1,no,50,96,5,19,5,pre-paid,active,55,107.865,yes
133,0,no,200,6,0,1,4,pre-paid,not-active,45,11.1,no
134,0,no,100,0,0,0,5,pre-paid,active,55,0,yes
135,23,no,50,237,0,77,2,pre-paid,active,25,725.49,yes
136,4,no,200,115,262,30,2,post-paid,active,25,1489.05,yes
137,0,no,100,81,0,25,2,pre-paid,active,25,162.405,yes
138,1,no,100,43,29,17,3,pre-paid,not-active,30,176.72,yes
139,4,no,100,52,166,20,2,pre-paid,active,25,865.89,yes
140,2,no,400,35,184,8,2,post-paid,active,25,880.2,yes
141,2,no,100,38,21,65,4,pre-paid,active,45,87.9,yes
142,9,no,100,24,1,4,2,pre-paid,not-active,25,28.53,yes
143,0,no,200,9,12,1,4,pre-paid,not-active,45,46.1,yes
144,8,no,100,31,10,10,2,pre-paid,active,25,92.97,yes
145,0,no,50,60,0,20,3,pre-paid,active,30,123.8,yes
146,0,no,100,25,19,11,2,pre-paid,active,25,154.35,yes
147,14,no,50,140,76,39,2,post-paid,active,25,627.39,yes
148,10,no,100,170,64,37,4,pre-paid,active,45,382.8,yes
149,6,no,100,44,22,16,3,pre-paid,active,30,196.24,yes
150,0,no,400,39,206,7,3,pre-paid,active,30,993.56,yes
151,1,no,20,18,0,4,3,pre-paid,active,30,52.6,no
152,6,no,50,65,0,16,2,pre-paid,active,25,199.575,yes
153,0,no,200,4,0,3,2,pre-paid,not-active,25,14.49,yes
154,8,no,100,54,351,23,2,pre-paid,active,25,1692.315,yes
155,8,no,100,60,0,34,1,pre-paid,active,15,234.19,yes
156,1,no,200,52,0,32,1,pre-paid,active,15,134.475,yes
157,9,no,20,76,24,27,2,pre-paid,active,25,281.295,yes
158,2,no,100,33,277,17,3,pre-paid,active,30,1203.72,yes
159,11,no,50,115,136,42,3,pre-paid,active,30,913.2,yes
160,5,no,400,163,0,43,3,pre-paid,active,30,557.44,yes
161,5,no,50,77,0,24,3,pre-paid,active,30,183.68,yes
162,4,no,50,89,0,11,2,pre-paid,active,25,270.315,yes
163,7,yes,200,48,0,16,3,pre-paid,not-active,30,91.44,yes
164,23,no,100,219,46,31,3,pre-paid,active,30,798.36,yes
165,2,no,50,21,475,7,3,pre-paid,active,30,2024.64,yes
166,7,no,200,176,142,29,2,pre-paid,active,25,1343.745,yes
167,1,no,100,80,178,25,3,pre-paid,active,30,975.2,yes
168,0,no,100,8,0,10,2,pre-paid,not-active,25,39.735,yes
169,0,no,100,8,5,7,2,pre-paid,not-active,25,54.81,yes
170,0,no,400,0,0,0,2,pre-paid,not-active,25,0,no
171,1,no,100,121,376,42,2,pre-paid,active,25,2035.305,yes
172,5,no,100,148,3,46,3,pre-paid,active,30,476.52,yes
173,6,no,200,69,100,36,2,pre-paid,active,25,755.415,yes
174,21,yes,100,41,8,16,2,pre-paid,not-active,25,80.82,no
175,19,no,50,87,0,41,4,pre-paid,active,45,263.05,yes
176,11,no,100,92,18,23,2,pre-paid,active,25,346.95,no
177,0,no,100,16,0,13,3,pre-paid,active,30,114.24,yes
178,7,yes,100,35,1,15,2,pre-paid,not-active,25,140.625,no
179,7,yes,50,38,26,30,3,pre-paid,not-active,30,196.24,no
180,0,yes,400,0,0,0,2,pre-paid,not-active,25,0,no
181,0,no,100,19,0,5,3,pre-paid,active,30,67.48,yes
182,1,no,100,91,6,21,4,pre-paid,active,45,186.9,yes
183,0,no,200,1,1,3,4,pre-paid,not-active,45,18.225,no
184,0,no,100,5,0,1,4,pre-paid,active,45,8.575,yes
185,23,no,100,232,0,79,2,pre-paid,active,25,733.815,yes
186,4,no,200,110,263,32,2,post-paid,active,25,1501.875,yes
187,0,no,100,76,0,27,2,pre-paid,active,25,170.73,yes
188,1,no,100,38,30,19,3,pre-paid,not-active,30,188.12,yes
