ID,Call Failure,Complains,Charge Amount,Freq. of use,Distinct Called Numbers,Status,Age,Customer Value,Churn,Plan_pre-paid
3083,0,0,200,2,5,0,45,40.375,0,1
1455,8,0,20,70,39,1,25,314.235,1,1
1499,7,0,50,52,16,1,30,1210.48,1,1
2562,2,0,50,91,14,1,25,305.28,1,1
550,0,0,400,37,10,1,30,1019.28,1,1
1741,18,0,100,37,10,0,30,141.68,1,1
784,14,0,100,221,78,1,25,687.645,1,1
2848,5,0,100,157,33,1,45,352.625,1,1
2314,6,0,100,35,13,1,30,2108.4,1,1
743,11,0,200,37,11,1,25,165.015,1,1
2578,5,1,100,37,18,0,25,180.09,0,1
2611,1,0,100,75,19,1,30,168.2,1,1
1764,15,0,100,44,10,1,45,1348.85,1,1
3079,6,1,100,39,32,0,30,231.68,0,1
2085,3,0,100,113,31,1,25,1512.81,1,0
1781,14,0,100,114,24,1,55,162.21,1,1
3054,7,0,100,55,25,1,25,1732.185,1,1
1128,13,1,100,48,29,0,30,225.64,0,1
248,14,0,100,177,41,1,55,258.135,1,1
872,3,0,50,69,35,1,25,746.19,1,1
1026,5,0,100,25,14,1,30,152.4,1,1
2955,5,0,50,66,37,1,15,367.07,1,1
2860,6,0,400,173,57,1,30,625.64,1,1
627,2,0,100,29,13,0,25,122.13,0,1
348,6,0,100,160,40,1,45,329.55,1,1
279,15,1,50,55,31,0,30,289.32,0,1
1989,4,0,100,36,11,1,25,929.295,1,0
2404,14,0,100,76,50,1,15,389.07,1,1
656,8,0,200,82,27,1,30,274.08,1,1
1357,13,0,50,55,35,1,45,865.5,1,1
1033,5,0,200,6,2,1,55,15.165,1,1
908,18,0,100,127,45,1,30,985.88,1,1
2761,4,0,100,85,28,1,30,203.0,1,1
2721,0,0,50,111,35,1,25,1946.43,1,1
1136,6,0,200,86,26,1,30,189.16,1,1
912,14,1,100,60,19,0,30,164.12,1,1
1908,18,0,100,127,45,1,30,985.88,1,1
633,0,0,200,0,0,1,45,0.0,1,1
1103,14,0,200,64,22,1,30,1533.68,1,1
446,2,0,100,26,14,1,25,203.445,1,1
618,0,0,100,2,5,0,25,18.315,1,1
1363,34,1,200,241,49,1,30,979.44,1,0
1196,26,0,200,157,50,1,25,801.675,1,0
1191,21,0,50,41,15,0,30,180.24,1,1
3098,9,0,100,166,41,1,45,412.075,1,1
1748,15,0,100,57,22,1,45,195.35,1,1
845,0,0,50,20,12,1,25,157.95,1,1
2685,25,0,100,242,84,1,25,768.24,1,1
548,10,0,100,168,40,1,45,398.9,1,1
1979,0,0,100,2,2,0,30,5.4,0,1
2179,0,1,100,0,0,0,30,0.0,0,1
1058,19,0,100,129,49,1,30,1029.16,1,1
264,31,1,100,236,32,1,30,891.44,1,1
2996,0,0,100,26,16,1,25,307.395,1,1
2477,5,0,100,31,1,0,30,96.84,0,1
2024,24,1,100,96,44,1,55,167.865,1,0
354,10,0,100,60,24,1,30,1536.52,1,1
803,5,0,200,54,22,1,25,1683.09,1,1
209,15,0,100,127,44,1,30,977.68,1,1
614,0,0,100,15,5,1,30,1984.2,1,1
1048,10,0,100,48,19,1,30,257.84,1,1
2158,12,0,100,119,39,1,30,902.16,1,1
1676,4,0,200,22,15,1,30,126.68,1,1
1272,15,0,50,89,44,1,25,895.14,1,1
1271,14,0,50,168,54,1,45,375.45,1,1
1954,10,0,100,66,35,1,15,240.02,1,1
2693,0,0,200,14,7,0,45,92.35,1,1
58,6,0,100,40,21,1,30,1279.6,1,1
2348,10,0,100,53,24,1,30,291.44,1,1
812,4,0,100,48,15,0,30,83.24,1,1
1552,7,0,50,12,9,0,30,125.0,1,1
2737,0,0,100,66,20,1,25,144.855,1,1
562,0,0,100,86,8,1,25,253.755,1,1
2310,9,0,400,91,30,1,30,243.44,1,1
230,2,0,400,8,3,0,30,37.64,0,1
2640,0,0,400,28,5,1,25,835.11,1,0
2033,3,0,200,7,4,1,55,19.575,1,1
2933,0,1,200,0,0,0,45,0.0,0,1
539,4,0,50,50,23,1,25,894.825,1,1
1736,9,0,100,94,31,1,30,232.68,1,1
2576,9,0,100,94,26,1,25,386.415,0,1
2229,5,0,100,12,8,0,30,76.2,0,1
2870,0,1,400,4,13,0,25,76.455,0,1
561,0,0,20,74,21,1,30,168.96,1,1
708,14,0,50,126,41,1,30,965.84,1,1
1235,6,0,100,112,29,1,25,1503.99,1,0
425,21,0,100,93,42,1,55,159.42,1,1
648,1,0,100,33,16,1,30,167.2,1,1
1883,5,0,200,10,4,1,55,26.295,1,1
1324,24,0,100,91,39,1,55,170.265,1,1
2596,0,0,100,22,16,1,25,206.64,1,1
1160,17,0,400,99,33,1,45,189.475,1,1
1006,13,0,200,85,28,1,30,300.2,1,1
621,0,0,50,142,44,1,30,452.08,1,1
1361,15,0,50,111,29,1,30,417.36,1,1
554,2,0,100,51,20,1,25,1657.755,1,1
2802,1,0,100,57,10,1,25,177.39,1,1
1558,20,0,100,128,48,1,30,1029.52,1,1
999,10,0,100,49,14,1,30,1100.16,1,1
1365,18,0,100,198,47,1,25,1547.46,1,1
1755,14,0,50,75,35,1,25,233.235,1,1
2886,5,0,100,120,46,1,25,1614.6,1,0
3135,18,0,50,231,75,1,25,711.495,1,1
1645,5,0,100,31,13,1,30,177.64,1,1
441,4,0,100,39,68,1,45,115.175,1,1
509,11,0,50,118,43,1,30,927.52,1,1
590,0,0,400,27,7,1,25,858.465,1,0
1237,5,0,50,40,16,0,30,190.0,1,1
650,0,0,400,7,4,1,25,53.505,0,1
2041,14,0,50,28,9,1,30,91.52,1,1
2683,0,1,200,11,8,0,45,57.35,0,1
1317,5,0,50,12,8,0,25,77.04,1,1
1335,9,0,100,114,30,1,30,1356.16,1,0
1843,9,0,200,27,15,1,25,42.615,1,1
631,0,0,50,85,19,1,45,164.125,1,1
1403,11,0,200,56,11,1,30,1468.56,1,1
483,0,0,200,1,2,0,45,13.1,0,1
1245,5,0,100,22,10,1,25,169.29,1,1
3044,5,0,100,20,7,1,15,45.375,1,1
2571,0,0,50,123,45,1,25,2074.77,1,1
